"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2021 ";"2022";"2023 **";"2024 eerste helft*"
"Castricum";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Coevorden";"Installaties";"aantal";"6082";"7255";"8956";"9340"
"Coevorden";"Opgesteld vermogen van zonnepanelen";"kWp";"93650";"160275";"204194";"233276"
"Coevorden";"Opgesteld vermogen omvormers";"kW";"";"140160";"172824";"194069"
"Coevorden";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Cranendonck";"Installaties";"aantal";"2912";"3793";"4769";"4909"
"Cranendonck";"Opgesteld vermogen van zonnepanelen";"kWp";"70314";"77678";"84903";"86730"
"Cranendonck";"Opgesteld vermogen omvormers";"kW";"";"63696";"69716";"71087"
"Cranendonck";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Cuijk";"Installaties";"aantal";"3403";"";"";""
"Cuijk";"Opgesteld vermogen van zonnepanelen";"kWp";"28252";"";"";""
"Cuijk";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Cuijk";"Productie van zonnestroom";"mln kWh";".";"";"";""
"Culemborg";"Installaties";"aantal";"3601";"4669";"5764";"6082"
"Culemborg";"Opgesteld vermogen van zonnepanelen";"kWp";"19651";"25127";"30894";"32980"
"Culemborg";"Opgesteld vermogen omvormers";"kW";"";"22912";"27784";"29507"
"Culemborg";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Dalfsen";"Installaties";"aantal";"5170";"6185";"7394";"7711"
"Dalfsen";"Opgesteld vermogen van zonnepanelen";"kWp";"41657";"48432";"65412";"67583"
"Dalfsen";"Opgesteld vermogen omvormers";"kW";"";"44018";"57091";"59002"
"Dalfsen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Dantumadiel";"Installaties";"aantal";"3371";"4299";"4992";"5169"
"Dantumadiel";"Opgesteld vermogen van zonnepanelen";"kWp";"17451";"21733";"26646";"27751"
"Dantumadiel";"Opgesteld vermogen omvormers";"kW";"";"20058";"24218";"25187"
"Dantumadiel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Delft";"Installaties";"aantal";"5722";"7818";"9237";"9603"
"Delft";"Opgesteld vermogen van zonnepanelen";"kWp";"23619";"32862";"41861";"44406"
"Delft";"Opgesteld vermogen omvormers";"kW";"";"30812";"38133";"40140"
"Delft";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Delfzijl";"Installaties";"aantal";"";"";"";""
"Delfzijl";"Opgesteld vermogen van zonnepanelen";"kWp";"";"";"";""
"Delfzijl";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Delfzijl";"Productie van zonnestroom";"mln kWh";"";"";"";""
"Deurne";"Installaties";"aantal";"3737";"5242";"6519";"6763"
"Deurne";"Opgesteld vermogen van zonnepanelen";"kWp";"51277";"63147";"75247";"77959"
"Deurne";"Opgesteld vermogen omvormers";"kW";"";"56302";"66474";"68663"
"Deurne";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Deventer";"Installaties";"aantal";"9609";"11909";"15405";"16313"
"Deventer";"Opgesteld vermogen van zonnepanelen";"kWp";"55851";"93393";"114318";"126725"
"Deventer";"Opgesteld vermogen omvormers";"kW";"";"80917";"98846";"109972"
"Deventer";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Diemen";"Installaties";"aantal";"2173";"2938";"3417";"3746"
"Diemen";"Opgesteld vermogen van zonnepanelen";"kWp";"9893";"12578";"14989";"15789"
"Diemen";"Opgesteld vermogen omvormers";"kW";"";"12198";"14240";"14938"
"Diemen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Dijk en Waard";"Installaties";"aantal";"";"16920";"20091";"20953"
"Dijk en Waard";"Opgesteld vermogen van zonnepanelen";"kWp";"";"100609";"119103";"123609"
"Dijk en Waard";"Opgesteld vermogen omvormers";"kW";"";"91713";"107515";"111374"
"Dijk en Waard";"Productie van zonnestroom";"mln kWh";"";".";".";"."
"Dinkelland";"Installaties";"aantal";"3526";"4598";"5853";"6107"
"Dinkelland";"Opgesteld vermogen van zonnepanelen";"kWp";"36519";"49398";"61551";"63884"
"Dinkelland";"Opgesteld vermogen omvormers";"kW";"";"44753";"54952";"57006"
"Dinkelland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Doesburg";"Installaties";"aantal";"1076";"1468";"1791";"1893"
"Doesburg";"Opgesteld vermogen van zonnepanelen";"kWp";"5347";"7649";"9344";"9804"
"Doesburg";"Opgesteld vermogen omvormers";"kW";"";"7286";"8809";"9202"
"Doesburg";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Doetinchem";"Installaties";"aantal";"7078";"9521";"11636";"12313"
"Doetinchem";"Opgesteld vermogen van zonnepanelen";"kWp";"39718";"53152";"66699";"77920"
"Doetinchem";"Opgesteld vermogen omvormers";"kW";"";"50119";"61589";"69627"
"Doetinchem";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Dongen";"Installaties";"aantal";"2913";"3679";"4789";"4951"
"Dongen";"Opgesteld vermogen van zonnepanelen";"kWp";"28677";"34373";"50480";"51329"
"Dongen";"Opgesteld vermogen omvormers";"kW";"";"28536";"42688";"43425"
"Dongen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Dordrecht";"Installaties";"aantal";"6393";"9686";"12695";"13267"
"Dordrecht";"Opgesteld vermogen van zonnepanelen";"kWp";"51547";"69994";"106556";"109939"
"Dordrecht";"Opgesteld vermogen omvormers";"kW";"";"61017";"88647";"91628"
"Dordrecht";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Drechterland";"Installaties";"aantal";"3160";"4047";"4881";"5130"
"Drechterland";"Opgesteld vermogen van zonnepanelen";"kWp";"25748";"32318";"39931";"41264"
"Drechterland";"Opgesteld vermogen omvormers";"kW";"";"29783";"36311";"37475"
"Drechterland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Drimmelen";"Installaties";"aantal";"2712";"3713";"4834";"5035"
"Drimmelen";"Opgesteld vermogen van zonnepanelen";"kWp";"24759";"37038";"44218";"45839"
"Drimmelen";"Opgesteld vermogen omvormers";"kW";"";"31335";"37405";"38729"
"Drimmelen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Dronten";"Installaties";"aantal";"6532";"8054";"9566";"10018"
"Dronten";"Opgesteld vermogen van zonnepanelen";"kWp";"105506";"265461";"318267";"322129"
"Dronten";"Opgesteld vermogen omvormers";"kW";"";"246969";"294479";"297798"
"Dronten";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Druten";"Installaties";"aantal";"2292";"3060";"3889";"4122"
"Druten";"Opgesteld vermogen van zonnepanelen";"kWp";"48797";"53289";"58334";"59704"
"Druten";"Opgesteld vermogen omvormers";"kW";"";"39880";"44215";"45404"
"Druten";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Duiven";"Installaties";"aantal";"2687";"3574";"4504";"4757"
"Duiven";"Opgesteld vermogen van zonnepanelen";"kWp";"21944";"29894";"35356";"40743"
"Duiven";"Opgesteld vermogen omvormers";"kW";"";"26749";"31478";"34838"
"Duiven";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Echt-Susteren";"Installaties";"aantal";"4813";"6019";"7508";"7830"
"Echt-Susteren";"Opgesteld vermogen van zonnepanelen";"kWp";"33364";"41541";"56043";"70270"
"Echt-Susteren";"Opgesteld vermogen omvormers";"kW";"";"38321";"50448";"60651"
"Echt-Susteren";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Edam-Volendam";"Installaties";"aantal";"3111";"4540";"6109";"6384"
"Edam-Volendam";"Opgesteld vermogen van zonnepanelen";"kWp";"16483";"23305";"35442";"36907"
"Edam-Volendam";"Opgesteld vermogen omvormers";"kW";"";"21635";"31169";"32402"
"Edam-Volendam";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Ede";"Installaties";"aantal";"11726";"15286";"18800";"19559"
"Ede";"Opgesteld vermogen van zonnepanelen";"kWp";"99149";"129428";"161612";"167782"
"Ede";"Opgesteld vermogen omvormers";"kW";"";"118118";"144674";"149994"
"Ede";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Eemnes";"Installaties";"aantal";"1517";"1897";"2280";"2422"
"Eemnes";"Opgesteld vermogen van zonnepanelen";"kWp";"12079";"14361";"16395";"16942"
"Eemnes";"Opgesteld vermogen omvormers";"kW";"";"12875";"14618";"15107"
"Eemnes";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Eemsdelta";"Installaties";"aantal";"7783";"9517";"11385";"11796"
"Eemsdelta";"Opgesteld vermogen van zonnepanelen";"kWp";"104182";"119798";"147399";"149708"
"Eemsdelta";"Opgesteld vermogen omvormers";"kW";"";"100934";"121040";"123045"
"Eemsdelta";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Eersel";"Installaties";"aantal";"2725";"3378";"4276";"4520"
"Eersel";"Opgesteld vermogen van zonnepanelen";"kWp";"26065";"30314";"37328";"38738"
"Eersel";"Opgesteld vermogen omvormers";"kW";"";"28085";"33919";"35090"
"Eersel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Eijsden-Margraten";"Installaties";"aantal";"3996";"4860";"5770";"5982"
"Eijsden-Margraten";"Opgesteld vermogen van zonnepanelen";"kWp";"25905";"32251";"38944";"40305"
"Eijsden-Margraten";"Opgesteld vermogen omvormers";"kW";"";"29426";"35250";"36441"
"Eijsden-Margraten";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Eindhoven";"Installaties";"aantal";"21448";"27318";"34704";"36349"
"Eindhoven";"Opgesteld vermogen van zonnepanelen";"kWp";"141105";"174842";"212446";"224656"
"Eindhoven";"Opgesteld vermogen omvormers";"kW";"";"157008";"189229";"199949"
"Eindhoven";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Elburg";"Installaties";"aantal";"3055";"3923";"4697";"4849"
"Elburg";"Opgesteld vermogen van zonnepanelen";"kWp";"19038";"23470";"28285";"29180"
"Elburg";"Opgesteld vermogen omvormers";"kW";"";"22379";"26612";"27414"
"Elburg";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Emmen";"Installaties";"aantal";"13679";"17725";"23214";"24863"
"Emmen";"Opgesteld vermogen van zonnepanelen";"kWp";"167430";"198175";"277500";"285390"
"Emmen";"Opgesteld vermogen omvormers";"kW";"";"173164";"245204";"252155"
"Emmen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Enkhuizen";"Installaties";"aantal";"1494";"1949";"2656";"2841"
"Enkhuizen";"Opgesteld vermogen van zonnepanelen";"kWp";"8007";"12344";"15550";"16869"
"Enkhuizen";"Opgesteld vermogen omvormers";"kW";"";"11383";"14195";"15304"
"Enkhuizen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Enschede";"Installaties";"aantal";"11339";"15026";"19949";"21433"
"Enschede";"Opgesteld vermogen van zonnepanelen";"kWp";"96725";"124176";"156410";"172541"
"Enschede";"Opgesteld vermogen omvormers";"kW";"";"115971";"144596";"158529"
"Enschede";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Epe";"Installaties";"aantal";"3314";"4380";"5890";"6266"
"Epe";"Opgesteld vermogen van zonnepanelen";"kWp";"27754";"33681";"43164";"46388"
"Epe";"Opgesteld vermogen omvormers";"kW";"";"30548";"38509";"41361"
"Epe";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Ermelo";"Installaties";"aantal";"3417";"4173";"5067";"5294"
"Ermelo";"Opgesteld vermogen van zonnepanelen";"kWp";"26634";"35340";"40959";"42184"
"Ermelo";"Opgesteld vermogen omvormers";"kW";"";"30713";"35664";"36744"
"Ermelo";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Etten-Leur";"Installaties";"aantal";"3741";"5157";"7244";"7741"
"Etten-Leur";"Opgesteld vermogen van zonnepanelen";"kWp";"39217";"50179";"74391";"76552"
"Etten-Leur";"Opgesteld vermogen omvormers";"kW";"";"43057";"62149";"64096"
"Etten-Leur";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"De Fryske Marren";"Installaties";"aantal";"8268";"10545";"13065";"13687"
"De Fryske Marren";"Opgesteld vermogen van zonnepanelen";"kWp";"68494";"83798";"101454";"119650"
"De Fryske Marren";"Opgesteld vermogen omvormers";"kW";"";"77130";"92211";"105540"
"De Fryske Marren";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Geertruidenberg";"Installaties";"aantal";"2072";"2679";"3544";"3998"
"Geertruidenberg";"Opgesteld vermogen van zonnepanelen";"kWp";"22436";"30869";"35896";"40103"
"Geertruidenberg";"Opgesteld vermogen omvormers";"kW";"";"27375";"31699";"34567"
"Geertruidenberg";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Geldrop-Mierlo";"Installaties";"aantal";"5043";"6200";"7627";"8069"
"Geldrop-Mierlo";"Opgesteld vermogen van zonnepanelen";"kWp";"24369";"30607";"38368";"40501"
"Geldrop-Mierlo";"Opgesteld vermogen omvormers";"kW";"";"28938";"35630";"37484"
"Geldrop-Mierlo";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Gemert-Bakel";"Installaties";"aantal";"4377";"5411";"6659";"6998"
"Gemert-Bakel";"Opgesteld vermogen van zonnepanelen";"kWp";"50439";"61980";"72863";"75387"
"Gemert-Bakel";"Opgesteld vermogen omvormers";"kW";"";"55052";"64241";"66407"
"Gemert-Bakel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Gennep";"Installaties";"aantal";"2303";"2942";"3676";"3905"
"Gennep";"Opgesteld vermogen van zonnepanelen";"kWp";"36743";"40896";"45212";"46949"
"Gennep";"Opgesteld vermogen omvormers";"kW";"";"34223";"38040";"39494"
"Gennep";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Gilze en Rijen";"Installaties";"aantal";"2716";"3452";"4479";"4680"
"Gilze en Rijen";"Opgesteld vermogen van zonnepanelen";"kWp";"25015";"30604";"38812";"39439"
"Gilze en Rijen";"Opgesteld vermogen omvormers";"kW";"";"27661";"34505";"34973"
"Gilze en Rijen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Goeree-Overflakkee";"Installaties";"aantal";"7438";"10595";"12631";"13113"
"Goeree-Overflakkee";"Opgesteld vermogen van zonnepanelen";"kWp";"149436";"168189";"183160";"185997"
"Goeree-Overflakkee";"Opgesteld vermogen omvormers";"kW";"";"146265";"158696";"161035"
"Goeree-Overflakkee";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Goes";"Installaties";"aantal";"5677";"8276";"9667";"10119"
"Goes";"Opgesteld vermogen van zonnepanelen";"kWp";"36159";"49508";"56930";"59234"
"Goes";"Opgesteld vermogen omvormers";"kW";"";"44845";"51360";"53418"
"Goes";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Goirle";"Installaties";"aantal";"2418";"3167";"4048";"4327"
"Goirle";"Opgesteld vermogen van zonnepanelen";"kWp";"18806";"24447";"29613";"31170"
"Goirle";"Opgesteld vermogen omvormers";"kW";"";"22265";"26618";"27920"
"Goirle";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Gooise Meren";"Installaties";"aantal";"3405";"4838";"6683";"7089"
"Gooise Meren";"Opgesteld vermogen van zonnepanelen";"kWp";"15087";"21745";"32002";"34847"
"Gooise Meren";"Opgesteld vermogen omvormers";"kW";"";"20353";"29128";"31516"
"Gooise Meren";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Gorinchem";"Installaties";"aantal";"2822";"4319";"6011";"6342"
"Gorinchem";"Opgesteld vermogen van zonnepanelen";"kWp";"20184";"26200";"35914";"39075"
"Gorinchem";"Opgesteld vermogen omvormers";"kW";"";"24227";"32607";"35037"
"Gorinchem";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Gouda";"Installaties";"aantal";"5532";"7877";"9840";"10277"
"Gouda";"Opgesteld vermogen van zonnepanelen";"kWp";"24293";"33540";"42248";"44514"
"Gouda";"Opgesteld vermogen omvormers";"kW";"";"31134";"38555";"40468"
"Gouda";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Grave";"Installaties";"aantal";"1520";"";"";""
"Grave";"Opgesteld vermogen van zonnepanelen";"kWp";"8764";"";"";""
"Grave";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Grave";"Productie van zonnestroom";"mln kWh";".";"";"";""
"'s-Gravenhage (gemeente)";"Installaties";"aantal";"17989";"26292";"32623";"34354"
"'s-Gravenhage (gemeente)";"Opgesteld vermogen van zonnepanelen";"kWp";"77435";"112311";"144995";"153179"
"'s-Gravenhage (gemeente)";"Opgesteld vermogen omvormers";"kW";"";"103391";"131377";"138406"
"'s-Gravenhage (gemeente)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Groningen (gemeente)";"Installaties";"aantal";"23956";"29704";"36025";"38157"
"Groningen (gemeente)";"Opgesteld vermogen van zonnepanelen";"kWp";"146201";"168271";"231794";"357881"
"Groningen (gemeente)";"Opgesteld vermogen omvormers";"kW";"";"154923";"208018";"320898"
"Groningen (gemeente)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Gulpen-Wittem";"Installaties";"aantal";"1784";"2177";"2793";"2976"
"Gulpen-Wittem";"Opgesteld vermogen van zonnepanelen";"kWp";"10234";"13079";"16954";"17965"
"Gulpen-Wittem";"Opgesteld vermogen omvormers";"kW";"";"12374";"15721";"16586"
"Gulpen-Wittem";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Haaksbergen";"Installaties";"aantal";"2902";"3808";"5102";"5367"
"Haaksbergen";"Opgesteld vermogen van zonnepanelen";"kWp";"20289";"29269";"37896";"49130"
"Haaksbergen";"Opgesteld vermogen omvormers";"kW";"";"27042";"34542";"41608"
"Haaksbergen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Haaren";"Installaties";"aantal";"";"";"";""
"Haaren";"Opgesteld vermogen van zonnepanelen";"kWp";"";"";"";""
"Haaren";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Haaren";"Productie van zonnestroom";"mln kWh";"";"";"";""
"Haarlem";"Installaties";"aantal";"9222";"12227";"15672";"16536"
"Haarlem";"Opgesteld vermogen van zonnepanelen";"kWp";"38339";"49971";"64043";"67960"
"Haarlem";"Opgesteld vermogen omvormers";"kW";"";"47249";"59533";"62881"
"Haarlem";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Haarlemmermeer";"Installaties";"aantal";"16066";"21531";"26124";"27298"
"Haarlemmermeer";"Opgesteld vermogen van zonnepanelen";"kWp";"142255";"170310";"216255";"227781"
"Haarlemmermeer";"Opgesteld vermogen omvormers";"kW";"";"154629";"188999";"197726"
"Haarlemmermeer";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Halderberge";"Installaties";"aantal";"3626";"4653";"5892";"6159"
"Halderberge";"Opgesteld vermogen van zonnepanelen";"kWp";"41474";"52841";"65803";"67330"
"Halderberge";"Opgesteld vermogen omvormers";"kW";"";"44244";"54516";"55833"
"Halderberge";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hardenberg";"Installaties";"aantal";"7425";"9789";"12827";"13889"
"Hardenberg";"Opgesteld vermogen van zonnepanelen";"kWp";"94520";"140404";"178285";"184650"
"Hardenberg";"Opgesteld vermogen omvormers";"kW";"";"120390";"152688";"158258"
"Hardenberg";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Harderwijk";"Installaties";"aantal";"4818";"6345";"7938";"8426"
"Harderwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"27655";"41259";"50267";"52858"
"Harderwijk";"Opgesteld vermogen omvormers";"kW";"";"38623";"46307";"48654"
"Harderwijk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hardinxveld-Giessendam";"Installaties";"aantal";"2568";"3301";"3879";"4025"
"Hardinxveld-Giessendam";"Opgesteld vermogen van zonnepanelen";"kWp";"12472";"18189";"21585";"22711"
"Hardinxveld-Giessendam";"Opgesteld vermogen omvormers";"kW";"";"16056";"18908";"19799"
"Hardinxveld-Giessendam";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Harlingen";"Installaties";"aantal";"3116";"3826";"4432";"4570"
"Harlingen";"Opgesteld vermogen van zonnepanelen";"kWp";"20815";"23031";"26043";"26962"
"Harlingen";"Opgesteld vermogen omvormers";"kW";"";"21249";"23868";"24592"
"Harlingen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hattem";"Installaties";"aantal";"1180";"1611";"2263";"2595"
"Hattem";"Opgesteld vermogen van zonnepanelen";"kWp";"5704";"8248";"11716";"13039"
"Hattem";"Opgesteld vermogen omvormers";"kW";"";"7681";"10739";"11869"
"Hattem";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Heemskerk";"Installaties";"aantal";"4421";"5474";"6670";"7165"
"Heemskerk";"Opgesteld vermogen van zonnepanelen";"kWp";"17917";"22754";"28758";"30691"
"Heemskerk";"Opgesteld vermogen omvormers";"kW";"";"21669";"26779";"28504"
"Heemskerk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Heemstede";"Installaties";"aantal";"2108";"3075";"3936";"4146"
"Heemstede";"Opgesteld vermogen van zonnepanelen";"kWp";"9281";"12711";"17141";"17220"
"Heemstede";"Opgesteld vermogen omvormers";"kW";"";"11572";"15418";"15797"
"Heemstede";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Heerde";"Installaties";"aantal";"2158";"2788";"3712";"3955"
"Heerde";"Opgesteld vermogen van zonnepanelen";"kWp";"12215";"17027";"22408";"23607"
"Heerde";"Opgesteld vermogen omvormers";"kW";"";"15809";"20383";"21396"
"Heerde";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Heerenveen";"Installaties";"aantal";"6735";"8422";"10202";"10607"
"Heerenveen";"Opgesteld vermogen van zonnepanelen";"kWp";"81391";"98267";"130931";"134372"
"Heerenveen";"Opgesteld vermogen omvormers";"kW";"";"86167";"112037";"114933"
"Heerenveen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Heerhugowaard";"Installaties";"aantal";"8617";"";"";""
"Heerhugowaard";"Opgesteld vermogen van zonnepanelen";"kWp";"53541";"";"";""
"Heerhugowaard";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Heerhugowaard";"Productie van zonnestroom";"mln kWh";".";"";"";""
"Heerlen";"Installaties";"aantal";"7429";"9091";"11519";"12287"
"Heerlen";"Opgesteld vermogen van zonnepanelen";"kWp";"47022";"57072";"74408";"78729"
"Heerlen";"Opgesteld vermogen omvormers";"kW";"";"53059";"66679";"70236"
"Heerlen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Heeze-Leende";"Installaties";"aantal";"2365";"3159";"3886";"4109"
"Heeze-Leende";"Opgesteld vermogen van zonnepanelen";"kWp";"21102";"28331";"33279";"34620"
"Heeze-Leende";"Opgesteld vermogen omvormers";"kW";"";"25324";"29515";"30687"
"Heeze-Leende";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Heiloo";"Installaties";"aantal";"4228";"5100";"5975";"6291"
"Heiloo";"Opgesteld vermogen van zonnepanelen";"kWp";"15257";"19130";"23511";"25126"
"Heiloo";"Opgesteld vermogen omvormers";"kW";"";"18340";"22163";"23508"
"Heiloo";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Den Helder";"Installaties";"aantal";"7104";"9707";"11610";"12205"
"Den Helder";"Opgesteld vermogen van zonnepanelen";"kWp";"63654";"73241";"82067";"85277"
"Den Helder";"Opgesteld vermogen omvormers";"kW";"";"61616";"69496";"72364"
"Den Helder";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hellendoorn";"Installaties";"aantal";"4444";"5826";"7483";"7808"
"Hellendoorn";"Opgesteld vermogen van zonnepanelen";"kWp";"33130";"43715";"54672";"56753"
"Hellendoorn";"Opgesteld vermogen omvormers";"kW";"";"40594";"50170";"51930"
"Hellendoorn";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hellevoetsluis";"Installaties";"aantal";"3598";"5199";"";""
"Hellevoetsluis";"Opgesteld vermogen van zonnepanelen";"kWp";"16382";"23968";"";""
"Hellevoetsluis";"Opgesteld vermogen omvormers";"kW";"";"22336";"";""
"Hellevoetsluis";"Productie van zonnestroom";"mln kWh";".";".";"";""
"Helmond";"Installaties";"aantal";"9732";"12468";"15838";"16813"
"Helmond";"Opgesteld vermogen van zonnepanelen";"kWp";"50045";"67245";"86208";"91190"
"Helmond";"Opgesteld vermogen omvormers";"kW";"";"60688";"77242";"81849"
"Helmond";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hendrik-Ido-Ambacht";"Installaties";"aantal";"2829";"4449";"5637";"5890"
"Hendrik-Ido-Ambacht";"Opgesteld vermogen van zonnepanelen";"kWp";"10489";"17606";"23597";"25262"
"Hendrik-Ido-Ambacht";"Opgesteld vermogen omvormers";"kW";"";"16185";"21359";"22794"
"Hendrik-Ido-Ambacht";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hengelo (O.)";"Installaties";"aantal";"7062";"9795";"13117";"14115"
"Hengelo (O.)";"Opgesteld vermogen van zonnepanelen";"kWp";"50004";"66325";"91559";"97475"
"Hengelo (O.)";"Opgesteld vermogen omvormers";"kW";"";"61697";"83796";"88771"
"Hengelo (O.)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"'s-Hertogenbosch";"Installaties";"aantal";"13883";"19234";"25746";"27306"
"'s-Hertogenbosch";"Opgesteld vermogen van zonnepanelen";"kWp";"103745";"133749";"171879";"180301"
"'s-Hertogenbosch";"Opgesteld vermogen omvormers";"kW";"";"120106";"152922";"160064"
"'s-Hertogenbosch";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Heumen";"Installaties";"aantal";"2585";"3170";"3807";"4074"
"Heumen";"Opgesteld vermogen van zonnepanelen";"kWp";"13095";"16544";"20286";"22262"
"Heumen";"Opgesteld vermogen omvormers";"kW";"";"15675";"18922";"20653"
"Heumen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Heusden";"Installaties";"aantal";"4878";"6372";"8326";"8673"
"Heusden";"Opgesteld vermogen van zonnepanelen";"kWp";"41223";"59530";"74756";"76949"
"Heusden";"Opgesteld vermogen omvormers";"kW";"";"51576";"64148";"65979"
"Heusden";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hillegom";"Installaties";"aantal";"2228";"2963";"3698";"3914"
"Hillegom";"Opgesteld vermogen van zonnepanelen";"kWp";"15014";"18314";"23514";"25042"
"Hillegom";"Opgesteld vermogen omvormers";"kW";"";"17375";"21695";"22934"
"Hillegom";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hilvarenbeek";"Installaties";"aantal";"1854";"2377";"3058";"3243"
"Hilvarenbeek";"Opgesteld vermogen van zonnepanelen";"kWp";"24746";"34691";"82054";"83432"
"Hilvarenbeek";"Opgesteld vermogen omvormers";"kW";"";"29622";"60510";"61588"
"Hilvarenbeek";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hilversum";"Installaties";"aantal";"5732";"7709";"9837";"10427"
"Hilversum";"Opgesteld vermogen van zonnepanelen";"kWp";"22209";"31153";"42218";"45534"
"Hilversum";"Opgesteld vermogen omvormers";"kW";"";"29645";"39185";"41961"
"Hilversum";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Hoeksche Waard";"Installaties";"aantal";"10523";"14809";"18790";"19591"
"Hoeksche Waard";"Opgesteld vermogen van zonnepanelen";"kWp";"86342";"110926";"135512";"145896"
"Hoeksche Waard";"Opgesteld vermogen omvormers";"kW";"";"97450";"118241";"125710"
"Hoeksche Waard";"Productie van zonnestroom";"mln kWh";".";".";".";"."
