"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2021 ";"2022";"2023 **";"2024 eerste helft*"
"Noord-Brabant (PV)";"Installaties";"aantal";"276145";"357763";"460314";"484784"
"Noord-Brabant (PV)";"Opgesteld vermogen van zonnepanelen";"kWp";"2577937";"3332012";"4156315";"4362751"
"Noord-Brabant (PV)";"Opgesteld vermogen omvormers";"kW";"";"2931556";"3607684";"3776212"
"Noord-Brabant (PV)";"Productie van zonnestroom";"mln kWh";"1959";"2853";"3372";"1830"
"Limburg (PV)";"Installaties";"aantal";"145009";"180796";"222897";"232968"
"Limburg (PV)";"Opgesteld vermogen van zonnepanelen";"kWp";"1176294";"1485089";"1864647";"1959690"
"Limburg (PV)";"Opgesteld vermogen omvormers";"kW";"";"1318279";"1620621";"1695481"
"Limburg (PV)";"Productie van zonnestroom";"mln kWh";"912";"1289";"1494";"800"
"Niet in te delen (PV)";"Installaties";"aantal";"426";"509";"520";"533"
"Niet in te delen (PV)";"Opgesteld vermogen van zonnepanelen";"kWp";"14389";"17208";"28679";"175854"
"Niet in te delen (PV)";"Opgesteld vermogen omvormers";"kW";"";"14768";"23689";"140124"
"Niet in te delen (PV)";"Productie van zonnestroom";"mln kWh";"12";"16";"25";"28"
"Aa en Hunze";"Installaties";"aantal";"4392";"5360";"6582";"6868"
"Aa en Hunze";"Opgesteld vermogen van zonnepanelen";"kWp";"33382";"38849";"46238";"47836"
"Aa en Hunze";"Opgesteld vermogen omvormers";"kW";"";"37043";"43603";"44977"
"Aa en Hunze";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Aalsmeer";"Installaties";"aantal";"3093";"4196";"5562";"5933"
"Aalsmeer";"Opgesteld vermogen van zonnepanelen";"kWp";"34473";"43073";"56589";"62944"
"Aalsmeer";"Opgesteld vermogen omvormers";"kW";"";"37101";"47492";"52009"
"Aalsmeer";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Aalten";"Installaties";"aantal";"3346";"4169";"5163";"5479"
"Aalten";"Opgesteld vermogen van zonnepanelen";"kWp";"33100";"43101";"51111";"53466"
"Aalten";"Opgesteld vermogen omvormers";"kW";"";"37741";"44430";"46421"
"Aalten";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Achtkarspelen";"Installaties";"aantal";"3158";"4119";"5320";"5542"
"Achtkarspelen";"Opgesteld vermogen van zonnepanelen";"kWp";"34398";"40771";"49286";"50775"
"Achtkarspelen";"Opgesteld vermogen omvormers";"kW";"";"36156";"43712";"44958"
"Achtkarspelen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Alblasserdam";"Installaties";"aantal";"1234";"1969";"2534";"2650"
"Alblasserdam";"Opgesteld vermogen van zonnepanelen";"kWp";"7721";"18128";"23011";"23791"
"Alblasserdam";"Opgesteld vermogen omvormers";"kW";"";"15852";"19643";"20308"
"Alblasserdam";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Albrandswaard";"Installaties";"aantal";"2126";"3483";"4625";"4879"
"Albrandswaard";"Opgesteld vermogen van zonnepanelen";"kWp";"14970";"21659";"26826";"27903"
"Albrandswaard";"Opgesteld vermogen omvormers";"kW";"";"18372";"22827";"23766"
"Albrandswaard";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Alkmaar";"Installaties";"aantal";"11538";"14650";"17988";"18947"
"Alkmaar";"Opgesteld vermogen van zonnepanelen";"kWp";"59943";"76531";"96998";"101879"
"Alkmaar";"Opgesteld vermogen omvormers";"kW";"";"71081";"88402";"92532"
"Alkmaar";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Almelo";"Installaties";"aantal";"5894";"8701";"11414";"12224"
"Almelo";"Opgesteld vermogen van zonnepanelen";"kWp";"97637";"114137";"130336";"180318"
"Almelo";"Opgesteld vermogen omvormers";"kW";"";"96653";"111064";"143901"
"Almelo";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Almere";"Installaties";"aantal";"18703";"25261";"31452";"33293"
"Almere";"Opgesteld vermogen van zonnepanelen";"kWp";"124139";"156931";"222585";"231583"
"Almere";"Opgesteld vermogen omvormers";"kW";"";"147976";"202641";"210610"
"Almere";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Alphen aan den Rijn";"Installaties";"aantal";"12559";"16068";"19508";"20197"
"Alphen aan den Rijn";"Opgesteld vermogen van zonnepanelen";"kWp";"69882";"90506";"113015";"119506"
"Alphen aan den Rijn";"Opgesteld vermogen omvormers";"kW";"";"82809";"102020";"107180"
"Alphen aan den Rijn";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Alphen-Chaam";"Installaties";"aantal";"1145";"1509";"2007";"2092"
"Alphen-Chaam";"Opgesteld vermogen van zonnepanelen";"kWp";"13716";"18123";"22530";"23295"
