Date,Time,WindDirection,WindSpeedAvg60min,WindGust,Temperature,Sunshineperhour,GlobalRadiation,HorizontalVisibility,CloudCover,AvgDailyTemperature,capacity,volume,percentage,emission,emissionfactor
2021-01-02,23:00:00,60,10,30,3.6,0,0,42,8,3.6375000000000006,0,0,0.0,0,0.0
2021-01-02,00:00:00,70,20,50,3.2,0,0,41,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,01:00:00,60,20,40,2.9000000000000004,0,0,28,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,02:00:00,50,20,40,3.1,0,0,28,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,03:00:00,60,20,40,3.1,0,0,27,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,04:00:00,60,30,50,3.1,0,0,46,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,05:00:00,50,30,50,2.9000000000000004,0,0,43,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,06:00:00,40,30,40,2.9000000000000004,0,0,33,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,07:00:00,30,20,40,3.0,0,0,34,8,3.3000000000000003,1241,1241,0.0001335035049123,0,0.0
2021-01-03,08:00:00,30,30,50,3.1,0,3,34,8,3.3000000000000003,58783,58783,0.0063235401175916,0,0.0
2021-01-03,09:00:00,50,30,60,3.5,0,15,56,8,3.3000000000000003,296069,296069,0.031848274171352,0,0.0
2021-01-03,10:00:00,50,40,70,3.5,0,12,67,8,3.3000000000000003,664637,664637,0.071492671966553,0,0.0
2021-01-03,11:00:00,40,30,70,3.5,0,12,65,8,3.3000000000000003,941612,941612,0.10128202289343,0,0.0
2021-01-03,12:00:00,40,40,60,3.9,0,20,67,8,3.3000000000000003,1070126,1070126,0.11510124802589,0,0.0
2021-01-03,13:00:00,40,40,80,3.9,0,18,63,7,3.3000000000000003,848141,848141,0.091221451759338,0,0.0
2021-01-03,14:00:00,40,50,90,3.8,0,4,65,8,3.3000000000000003,401455,401455,0.043176725506783,0,0.0
2021-01-03,15:00:00,60,50,90,3.6,0,0,75,8,3.3000000000000003,80191,80191,0.008624317124486,0,0.0
2021-01-03,16:00:00,40,40,100,3.5,0,0,75,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,17:00:00,30,40,80,3.5,0,0,75,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,18:00:00,20,50,80,3.5,0,0,75,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,19:00:00,20,50,80,3.3000000000000003,0,0,70,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,20:00:00,30,40,80,3.2,0,0,70,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,21:00:00,30,50,90,3.0,0,0,70,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,22:00:00,30,40,90,3.0,0,0,68,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,23:00:00,40,40,90,3.2,0,0,67,8,3.3000000000000003,0,0,0.0,0,0.0
2021-01-03,00:00:00,40,50,90,3.1,0,0,65,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,01:00:00,40,50,90,2.9000000000000004,0,0,61,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,02:00:00,50,50,90,2.9000000000000004,0,0,60,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,03:00:00,50,50,90,2.9000000000000004,0,0,65,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,04:00:00,50,50,90,3.0,0,0,65,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,05:00:00,50,50,80,3.0,0,0,65,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,06:00:00,50,50,100,3.1,0,0,62,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,07:00:00,50,50,90,3.1,0,0,69,8,2.8250000000000006,1429,1429,0.0001535877527203,0,0.0
2021-01-04,08:00:00,50,50,90,3.4000000000000004,0,5,67,8,2.8250000000000006,76232,76232,0.0081930970773101,0,0.0
2021-01-04,09:00:00,40,60,100,3.5,0,13,70,8,2.8250000000000006,321793,321793,0.034583825618029,0,0.0
2021-01-04,10:00:00,30,60,100,3.2,0,11,70,8,2.8250000000000006,549125,549125,0.059013523161411,0,0.0
2021-01-04,11:00:00,40,60,110,3.1,0,10,70,8,2.8250000000000006,684072,684072,0.073513321578503,0,0.0
2021-01-04,12:00:00,40,60,110,2.9000000000000004,0,6,70,8,2.8250000000000006,685080,685080,0.073618948459625,0,0.0
2021-01-04,13:00:00,40,60,130,2.9000000000000004,0,5,70,8,2.8250000000000006,506443,506443,0.054420500993729,0,0.0
2021-01-04,14:00:00,30,50,100,2.7,0,4,70,8,2.8250000000000006,285850,285850,0.030715275555849,0,0.0
2021-01-04,15:00:00,30,60,110,2.6,0,1,70,8,2.8250000000000006,61790,61790,0.0066392798908055,0,0.0
2021-01-04,16:00:00,40,50,100,2.5,0,0,70,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,17:00:00,40,50,80,2.4000000000000004,0,0,70,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,18:00:00,40,50,90,2.5,0,0,70,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,19:00:00,40,50,90,2.5,0,0,70,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,20:00:00,40,50,100,2.6,0,0,70,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,21:00:00,40,60,100,2.4000000000000004,0,0,70,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,22:00:00,40,50,80,2.3000000000000003,0,0,70,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,23:00:00,40,50,90,2.3000000000000003,0,0,70,8,2.8250000000000006,0,0,0.0,0,0.0
2021-01-04,00:00:00,40,50,80,2.3000000000000003,0,0,70,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,01:00:00,40,50,90,2.1,0,0,70,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,02:00:00,50,50,80,2.2,0,0,70,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,03:00:00,40,40,70,2.3000000000000003,0,0,70,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,04:00:00,40,40,70,2.3000000000000003,0,0,70,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,05:00:00,60,40,90,2.2,0,0,65,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,06:00:00,50,40,80,2.3000000000000003,0,0,64,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,07:00:00,40,40,60,2.4000000000000004,0,0,62,8,2.9083333333333337,1499,1499,0.0001609642495168,0,0.0
2021-01-05,08:00:00,50,30,70,2.7,0,2,63,8,2.9083333333333337,74664,74664,0.0080172698944807,0,0.0
2021-01-05,09:00:00,40,40,70,2.9000000000000004,0,5,69,8,2.9083333333333337,292128,292128,0.031367026269436,0,0.0
2021-01-05,10:00:00,50,40,70,3.4000000000000004,0,16,70,8,2.9083333333333337,502283,502283,0.053930249065161,0,0.0
2021-01-05,11:00:00,30,40,80,3.1,0,10,70,8,2.9083333333333337,621795,621795,0.066759876906872,0,0.0
2021-01-05,12:00:00,40,40,70,3.1,0,8,70,8,2.9083333333333337,507742,507742,0.054512351751328,0,0.0
2021-01-05,13:00:00,40,40,70,2.9000000000000004,0,5,60,8,2.9083333333333337,367852,367852,0.039491999894381,0,0.0
2021-01-05,14:00:00,40,40,70,3.1,0,4,64,8,2.9083333333333337,201393,201393,0.021620374172926,0,0.0
2021-01-05,15:00:00,50,40,80,3.2,0,0,67,8,2.9083333333333337,53157,53157,0.0057064415886998,0,0.0
2021-01-05,16:00:00,60,40,80,3.3000000000000003,0,0,65,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,17:00:00,50,40,80,3.3000000000000003,0,0,65,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,18:00:00,60,40,70,3.5,0,0,64,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,19:00:00,50,40,70,3.6,0,0,62,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,20:00:00,40,40,70,3.5,0,0,62,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,21:00:00,40,30,60,3.5,0,0,62,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,22:00:00,50,40,80,3.4000000000000004,0,0,64,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,23:00:00,40,50,80,3.2,0,0,61,8,2.9083333333333337,0,0,0.0,0,0.0
2021-01-05,00:00:00,40,40,70,3.0,0,0,62,8,2.379166666666667,0,0,0.0,0,0.0
